fips_code,state,civilian_population,labor_force,population_percent,employment,employment_percent,unemployment,unemployment_percent,month/year,employment_to_population_ratio,unemployment_rate
06,California,31150776,18730775,60.1,17096125,54.9,1634650,8.7,01/2021,0.5488185912286744,0.08727081500898921
09,Connecticut,2924748,1816716,62.1,1688878,57.7,127838,7.0,01/2021,0.5774439370503032,0.07036763038361527
12,Florida,17651837,10146298,57.5,9548255,54.1,598043,5.9,01/2021,0.5409213216732061,0.0589419904678534
13,Georgia,8357467,5178158,62.0,4930758,59.0,247400,4.8,01/2021,0.5899823475222816,0.04777760740402282
24,Maryland,4880724,3178999,65.1,2976494,61.0,202505,6.4,01/2021,0.6098468178081776,0.06370086936170788
26,Michigan,8068414,4770719,59.1,4460627,55.3,310092,6.5,01/2021,0.5528505354336056,0.06499900748713139
36,New York,16147636,9529706,59.0,8719038,54.0,810668,8.5,01/2021,0.5399575516812491,0.0850674721759517
42,Pennsylvania,10482980,6497094,62.0,6012410,57.4,484684,7.5,01/2021,0.573540157474306,0.07460012122342696
48,Texas,22370795,14146900,63.2,13194031,59.0,952869,6.7,01/2021,0.5897882037719268,0.06735532166057581
53,Washington,6147140,3876921,63.1,3630780,59.1,246141,6.3,01/2021,0.5906454058310043,0.06348878401184858
06,California,31127640,18769981,60.3,17165377,55.1,1604604,8.5,02/2021,0.5514512825257553,0.08548777966264323
09,Connecticut,2926426,1813938,62.0,1688035,57.7,125903,6.9,02/2021,0.5768247685060206,0.06940865674571016
12,Florida,17666223,10169604,57.6,9603143,54.4,566461,5.6,02/2021,0.543587783308294,0.05570138227604536
13,Georgia,8361374,5174112,61.9,4937540,59.1,236572,4.6,02/2021,0.5905177785373552,0.04572224180690329
24,Maryland,4880100,3172878,65.0,2977470,61.0,195408,6.2,02/2021,0.6101247925247434,0.06158698821700677
26,Michigan,8064688,4763640,59.1,4460982,55.3,302658,6.4,02/2021,0.5531499792676419,0.06353502783585661
36,New York,16128886,9536568,59.1,8743816,54.2,792752,8.3,02/2021,0.5421215079578342,0.08312759894335153
42,Pennsylvania,10482590,6485858,61.9,6019056,57.4,466802,7.2,02/2021,0.5741954993947107,0.07197228184767536
48,Texas,22392694,14168563,63.3,13234536,59.1,934027,6.6,02/2021,0.5910202675926354,0.06592249333965625
53,Washington,6147564,3878148,63.1,3640705,59.2,237443,6.1,02/2021,0.5922191293982462,0.06122587379336735
06,California,31110436,18841613,60.6,17259385,55.5,1582228,8.4,03/2021,0.5547779851108483,0.08397518832384468
09,Connecticut,2928891,1813046,61.9,1688664,57.7,124382,6.9,03/2021,0.5765540609056465,0.06860388539507548
12,Florida,17684916,10212331,57.7,9667587,54.7,544744,5.3,03/2021,0.546657219067368,0.05334178847121191
13,Georgia,8367615,5175916,61.9,4948163,59.1,227753,4.4,03/2021,0.5913468772165067,0.044002452899158336
24,Maryland,4880722,3173857,65.0,2983241,61.1,190616,6.0,03/2021,0.6112294451517624,0.06005815636936384
26,Michigan,8063261,4762269,59.1,4465028,55.4,297241,6.2,03/2021,0.5537496553813649,0.06241583581271869
36,New York,16114067,9541206,59.2,8776986,54.5,764220,8.0,03/2021,0.5446785097765822,0.08009679279537618
