Month/Year,State,TempMax,Temp,TempMin,FeelsLike,Humidity,Precipitation,PrecipitationType,Conditions,Description
01/2021,California,58.2,48.6,40.6,47.3,75.7,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
01/2021,Connecticut,37.6,31.3,25.0,25.5,61.5,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
01/2021,Florida,62.4,52.4,42.7,51.6,78.0,0.2,rain,Clear,Clear conditions throughout the day.
01/2021,Georgia,46.4,35.3,27.7,32.2,71.1,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
01/2021,Maryland,43.0,37.4,32.2,33.1,69.6,0.1,rain,Partially cloudy,Clear conditions throughout the day.
01/2021,Michigan,31.6,27.2,21.5,20.4,81.3,0.1,"rain, snow","Snow, Rain, Overcast",Cloudy skies throughout the day.
01/2021,New York,39.9,35.0,30.6,28.7,57.7,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
01/2021,Pennsylvania,41.0,35.1,29.7,30.0,60.1,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
01/2021,Texas,64.4,52.8,42.5,51.9,62.2,0.1,rain,Clear,Clear conditions throughout the day.
01/2021,Washington,44.6,38.1,32.4,32.8,62.8,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
02/2021,California,62.8,52.0,42.2,51.1,63.6,0.0,rain,Clear,Clear conditions throughout the day.
02/2021,Connecticut,36.8,31.0,24.8,25.5,63.1,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
02/2021,Florida,66.8,56.1,46.5,55.0,79.8,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
02/2021,Georgia,50.2,38.8,31.0,35.1,69.2,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
02/2021,Maryland,41.2,36.3,31.7,30.9,71.6,0.2,"rain, snow",Clear,Clear conditions throughout the day.
02/2021,Michigan,28.4,20.9,13.0,12.4,74.7,0.0,snow,"Snow, Partially cloudy",Clear conditions throughout the day.
02/2021,New York,38.7,34.2,29.7,27.8,61.8,0.2,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
02/2021,Pennsylvania,38.7,33.3,27.9,28.0,60.8,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
02/2021,Texas,57.8,47.7,38.5,44.6,68.4,0.1,rain,Clear,Clear conditions throughout the day.
02/2021,Washington,43.2,37.2,31.9,31.2,66.6,0.2,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
03/2021,California,65.2,53.2,42.2,52.1,58.9,0.0,rain,Clear,Clear conditions throughout the day.
03/2021,Connecticut,52.7,42.3,32.4,38.5,50.5,0.1,rain,Clear,Clear conditions throughout the day.
03/2021,Florida,75.0,63.4,52.7,63.4,72.1,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
03/2021,Georgia,51.2,39.9,31.5,35.9,67.5,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
03/2021,Maryland,56.2,48.2,41.1,45.9,61.5,0.1,rain,Clear,Clear conditions throughout the day.
03/2021,Michigan,52.5,41.5,30.5,36.9,58.4,0.1,rain,Clear,Clear conditions throughout the day.
03/2021,New York,53.4,45.5,38.0,41.8,49.5,0.1,rain,Partially cloudy,Clear conditions throughout the day.
03/2021,Pennsylvania,57.3,47.0,37.0,44.1,50.4,0.1,rain,Clear,Clear conditions throughout the day.
03/2021,Texas,75.3,64.0,53.5,63.9,58.7,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
03/2021,Washington,60.1,50.8,42.3,48.3,53.0,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
04/2021,California,77.1,60.8,47.4,60.2,53.7,0.0,rain,Clear,Clear conditions throughout the day.
04/2021,Connecticut,62.1,51.5,41.8,49.7,56.1,0.1,rain,Partially cloudy,Clear conditions throughout the day.
04/2021,Florida,77.0,65.7,54.4,65.6,69.2,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
04/2021,Georgia,68.8,55.7,45.0,55.1,68.6,0.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
04/2021,Maryland,64.4,56.0,48.2,55.1,62.8,0.1,rain,Partially cloudy,Clear conditions throughout the day.
04/2021,Michigan,59.0,49.0,38.9,46.4,61.6,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
04/2021,New York,62.9,54.2,46.2,52.6,51.7,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
04/2021,Pennsylvania,65.3,55.4,45.2,54.0,53.7,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
04/2021,Texas,77.9,67.7,58.4,67.7,64.4,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
04/2021,Washington,68.0,57.8,48.3,56.8,55.7,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
05/2021,California,84.4,68.2,54.3,67.6,47.3,0.0,rain,Clear,Clear conditions throughout the day.
05/2021,Connecticut,70.8,60.4,50.5,59.9,58.1,0.1,rain,Partially cloudy,Clear conditions throughout the day.
05/2021,Florida,85.7,74.1,62.2,74.3,65.3,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
05/2021,Georgia,78.5,62.7,50.1,62.3,65.7,0.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day.
05/2021,Maryland,72.4,64.1,56.1,64.0,63.7,0.1,rain,Clear,Clear conditions throughout the day.
05/2021,Michigan,68.7,58.1,46.5,57.1,60.2,0.0,rain,Partially cloudy,Clear conditions throughout the day.
05/2021,New York,71.3,62.8,55.3,62.3,52.4,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
05/2021,Pennsylvania,73.1,62.6,51.9,62.1,57.8,0.1,rain,Partially cloudy,Clear conditions throughout the day.
05/2021,Texas,82.5,73.6,66.2,74.2,75.1,0.3,rain,"Rain, Partially cloudy",Partly cloudy throughout the day.
05/2021,Washington,75.5,65.3,56.0,65.2,57.3,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
06/2021,California,89.5,72.8,58.5,72.1,50.7,0.0,,Clear,Clear conditions throughout the day.
06/2021,Connecticut,83.1,72.6,63.0,73.2,66.0,0.1,rain,Partially cloudy,Clear conditions throughout the day.
06/2021,Florida,89.4,79.3,71.5,81.0,76.0,0.2,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
06/2021,Georgia,88.6,71.9,59.1,71.5,55.4,0.0,rain,"Rain, Partially cloudy",Clear conditions throughout the day.
06/2021,Maryland,80.9,74.6,68.6,75.6,74.1,0.1,rain,Clear,Clear conditions throughout the day.
06/2021,Michigan,81.5,71.7,62.1,71.9,68.0,0.3,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
06/2021,New York,82.4,74.6,66.9,75.5,62.3,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
06/2021,Pennsylvania,84.5,74.6,64.8,75.4,64.2,0.1,rain,"Rain, Partially cloudy",Clear conditions throughout the day.
06/2021,Texas,90.9,81.5,73.7,84.4,70.7,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
06/2021,Washington,84.3,76.1,68.4,77.4,66.8,0.2,rain,Partially cloudy,Partly cloudy throughout the day.
07/2021,California,94.4,75.4,60.3,74.6,50.3,0.0,,Clear,Clear conditions throughout the day.
07/2021,Connecticut,81.3,72.9,66.1,73.3,74.3,0.4,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
07/2021,Florida,90.0,80.2,73.6,83.0,80.7,0.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day.
07/2021,Georgia,88.8,74.4,63.5,74.5,63.5,0.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
07/2021,Maryland,85.4,79.0,72.9,81.2,69.3,0.1,rain,Clear,Clear conditions throughout the day.
07/2021,Michigan,81.5,72.4,63.8,72.9,72.5,0.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day.
07/2021,New York,83.2,76.4,70.5,77.2,69.3,0.3,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
07/2021,Pennsylvania,86.7,77.3,68.8,78.2,66.3,0.2,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
07/2021,Texas,91.4,81.8,74.2,84.4,72.6,0.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day.
07/2021,Washington,88.5,80.1,72.6,81.9,63.6,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
08/2021,California,91.8,73.7,59.7,73.0,53.1,0.0,,Clear,Clear conditions throughout the day.
08/2021,Connecticut,83.4,75.5,68.3,76.3,71.7,0.2,rain,Partially cloudy,Partly cloudy throughout the day.
08/2021,Florida,89.8,80.5,74.2,83.6,81.3,0.2,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
08/2021,Georgia,93.9,76.5,63.3,76.3,52.9,0.0,rain,Partially cloudy,Partly cloudy throughout the day.
08/2021,Maryland,84.2,78.4,72.9,80.8,77.7,0.2,rain,"Rain, Partially cloudy",Clear conditions throughout the day.
08/2021,Michigan,84.8,74.9,65.6,75.9,71.2,0.1,rain,Clear,Clear conditions throughout the day.
08/2021,New York,83.8,77.8,72.4,78.9,67.5,0.3,rain,Partially cloudy,Partly cloudy throughout the day.
08/2021,Pennsylvania,87.2,77.8,70.2,79.0,69.7,0.2,rain,"Rain, Partially cloudy",Clear conditions throughout the day.
08/2021,Texas,93.8,83.6,75.7,86.9,69.2,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
08/2021,Washington,87.9,79.4,72.8,81.4,71.3,0.3,rain,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
09/2021,California,89.8,71.8,57.6,71.1,51.3,0.0,rain,Clear,Clear conditions throughout the day.
09/2021,Connecticut,76.1,68.1,60.2,68.2,72.1,0.2,rain,Partially cloudy,Partly cloudy throughout the day.
09/2021,Florida,86.7,77.1,69.8,78.4,79.4,0.3,rain,Partially cloudy,Partly cloudy throughout the day.
09/2021,Georgia,77.1,64.1,54.4,64.0,68.5,0.1,rain,"Rain, Partially cloudy",Partly cloudy throughout the day.
09/2021,Maryland,79.2,72.5,65.8,72.8,70.0,0.1,rain,Clear,Clear conditions throughout the day.
09/2021,Michigan,75.7,65.3,55.8,65.2,70.9,0.1,rain,Clear,Clear conditions throughout the day.
09/2021,New York,77.1,71.3,65.4,71.4,65.2,0.3,rain,Partially cloudy,Partly cloudy throughout the day.
09/2021,Pennsylvania,78.7,69.6,60.9,69.8,69.0,0.3,rain,Clear,Clear conditions throughout the day.
09/2021,Texas,93.4,80.6,69.7,81.6,57.4,0.0,rain,Clear,Clear conditions throughout the day.
09/2021,Washington,80.9,72.6,65.1,72.9,67.2,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
10/2021,California,73.3,60.9,51.3,60.7,62.1,0.2,rain,Clear,Clear conditions throughout the day.
10/2021,Connecticut,67.1,58.7,51.1,58.5,75.3,0.2,rain,Partially cloudy,Partly cloudy throughout the day.
10/2021,Florida,81.3,70.8,61.9,71.2,77.3,0.2,rain,Partially cloudy,Partly cloudy throughout the day.
10/2021,Georgia,61.6,50.0,41.1,49.0,79.2,0.3,rain,Partially cloudy,Partly cloudy throughout the day.
10/2021,Maryland,71.2,65.2,59.7,65.2,75.8,0.1,rain,Clear,Clear conditions throughout the day.
10/2021,Michigan,65.0,57.8,51.3,57.0,79.8,0.2,rain,"Rain, Partially cloudy",Clear conditions throughout the day.
