month/year,state,covid_cases,fips_code,civilian_population,labor_force,population_percent,employment,employment_percent,unemployment,unemployment_percent,employment_to_population_ratio,unemployment_rate,TempMax,Temp,TempMin,FeelsLike,Humidity,Precipitation,PrecipitationType,Conditions,Description
Jan-21,California,92557849,6,31150776,18730775,60.1,17096125,54.9,1634650,8.7,0.548818591,0.087270815,58.2,48.6,40.6,47.3,75.7,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
Jan-21,Connecticut,6900960,9,2924748,1816716,62.1,1688878,57.7,127838,7,0.577443937,0.07036763,37.6,31.3,25,25.5,61.5,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
Jan-21,Florida,47886722,12,17651837,10146298,57.5,9548255,54.1,598043,5.9,0.540921322,0.05894199,62.4,52.4,42.7,51.6,78,0.2,rain,Clear,Clear conditions throughout the day.
Jan-21,Georgia,24831364,13,8357467,5178158,62,4930758,59,247400,4.8,0.589982348,0.047777607,46.4,35.3,27.7,32.2,71.1,0,rain,Partially cloudy,Partly cloudy throughout the day.
Jan-21,Maryland,9934465,24,4880724,3178999,65.1,2976494,61,202505,6.4,0.609846818,0.063700869,43,37.4,32.2,33.1,69.6,0.1,rain,Partially cloudy,Clear conditions throughout the day.
Jan-21,Michigan,17902298,26,8068414,4770719,59.1,4460627,55.3,310092,6.5,0.552850535,0.064999007,31.6,27.2,21.5,20.4,81.3,0.1,"rain, snow","Snow, Rain, Overcast",Cloudy skies throughout the day.
Jan-21,New York,37738018,36,16147636,9529706,59,8719038,54,810668,8.5,0.539957552,0.085067472,39.9,35,30.6,28.7,57.7,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
Jan-21,Pennsylvania,23614488,42,10482980,6497094,62,6012410,57.4,484684,7.5,0.573540157,0.074600121,41,35.1,29.7,30,60.1,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
Jan-21,Texas,65895437,48,22370795,14146900,63.2,13194031,59,952869,6.7,0.589788204,0.067355322,64.4,52.8,42.5,51.9,62.2,0.1,rain,Clear,Clear conditions throughout the day.
Jan-21,Washington,8805144,53,6147140,3876921,63.1,3630780,59.1,246141,6.3,0.590645406,0.063488784,44.6,38.1,32.4,32.8,62.8,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
Feb-21,California,98937534,6,31127640,18769981,60.3,17165377,55.1,1604604,8.5,0.551451283,0.08548778,62.8,52,42.2,51.1,63.6,0,rain,Clear,Clear conditions throughout the day.
Feb-21,Connecticut,7518722,9,2926426,1813938,62,1688035,57.7,125903,6.9,0.576824769,0.069408657,36.8,31,24.8,25.5,63.1,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
Feb-21,Florida,51110285,12,17666223,10169604,57.6,9603143,54.4,566461,5.6,0.543587783,0.055701382,66.8,56.1,46.5,55,79.8,0.1,rain,Partially cloudy,Partly cloudy throughout the day.
Feb-21,Georgia,26992282,13,8361374,5174112,61.9,4937540,59.1,236572,4.6,0.590517779,0.045722242,50.2,38.8,31,35.1,69.2,0.1,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
